what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1403182606928
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1403182606928
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1403182606928
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1403182606928
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1403182606929
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1403182606930
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1403182606930
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1403182606930
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1403182606930
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1403182606931
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1403182606931
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1403182606931
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1403182606932
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1403182606932
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1403182606933
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1403182606933
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1403182606933
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1403182606934
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1403182606934
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1403182606934
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1403182606934
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1403182606935
os,sysinfo,,,"win32",1403182606936
arch,sysinfo,,,"x86",1403182606936
ws,sysinfo,,,"win32",1403182606936
locale,sysinfo,,,"zh_TW",1403182606936
processors,sysinfo,,,"8",1403182606936
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403182606936
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1403182606936
java.specification.name,sysinfo,,,"Java Platform API Specification",1403182606936
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403182606936
java.specification.version,sysinfo,,,"1.6",1403182606936
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403182606936
java.version,sysinfo,,,"1.6.0_23",1403182606936
java.vm.info,sysinfo,,,"mixed mode",1403182606936
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403182606936
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403182606936
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403182606936
java.vm.specification.version,sysinfo,,,"1.0",1403182606936
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403182606936
java.vm.version,sysinfo,,,"19.0-b09",1403182606936
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1403182608245
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1403182609111
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1403182609112
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1403182609114
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403182609167
error,log,,,"Unable to validate connection settings.",1403182617343
error,log,,,"Unable to validate connection settings.",1403182617347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403182617372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403182640936
started,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1403182643011
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1403182643015
